item_nbr,total_sales,family
96995,121,GROCERY I
99197,353,GROCERY I
103501,2629,CLEANING
103520,3394,GROCERY I
103665,3809,BREAD/BAKERY
105574,8803,GROCERY I
105575,13996,GROCERY I
105576,9203,GROCERY I
105577,2893,GROCERY I
105693,2500,GROCERY I
105737,3667,GROCERY I
105857,5321,GROCERY I
106716,7848,GROCERY I
108079,1917,GROCERY I
108634,942,GROCERY I
108696,4741,DELI
108698,3000,DELI
108701,3687,DELI
108786,10513,CLEANING
108797,6503,GROCERY I
108831,13606.512,POULTRY
108833,1636,EGGS
108862,1205,GROCERY I
108952,3953,CLEANING
111223,15254,GROCERY I
111397,8483,GROCERY I
112830,3096,GROCERY I
114778,4337,GROCERY I
114790,16492,GROCERY I
114799,5628,PERSONAL CARE
114800,7406,PERSONAL CARE
115267,8494,CLEANING
115611,20530,GROCERY I
115693,4770,GROCERY I
115720,8516,GROCERY I
115847,404,LINGERIE
115850,13144,GROCERY I
115891,4413,GROCERY I
115892,15143,GROCERY I
115893,13402,GROCERY I
115894,21201,GROCERY I
116017,23057,GROCERY I
116018,9016,GROCERY I
116279,2097,GROCERY I
116311,846,CLEANING
119023,2702,CLEANING
119024,4709,CLEANING
119026,9770,CLEANING
119141,7004,GROCERY I
119187,3474,CLEANING
119191,3084,CLEANING
119193,2472,CLEANING
119624,9143,BEVERAGES
121964,761,AUTOMOTIVE
122095,2529,DAIRY
122418,3437,GROCERY I
122419,2843,GROCERY I
122425,3453,CLEANING
123347,5587,DAIRY
123601,12477,GROCERY I
123602,2540,GROCERY I
123927,894,GROCERY I
125430,7325,GROCERY I
127534,2151,GROCERY I
127547,4513,EGGS
129296,5065,GROCERY I
129297,5510,GROCERY I
129635,13337,DAIRY
129758,5788,GROCERY I
129759,1776,GROCERY I
153078,3082,CLEANING
153239,6007,BREAD/BAKERY
153267,14675,GROCERY I
153395,4401,BREAD/BAKERY
153398,5606,BREAD/BAKERY
155499,3948,GROCERY I
155500,16868,GROCERY I
155600,4713,GROCERY I
155601,2703,GROCERY I
155607,2370,GROCERY I
155610,4198,GROCERY I
155621,2426,GROCERY I
155625,2132,GROCERY I
157956,2503,GROCERY I
158680,4631,EGGS
158788,5913,CLEANING
158789,6693,CLEANING
158842,4230,DAIRY
158875,3851,GROCERY I
158956,8143,CLEANING
159156,31781.0826,POULTRY
159242,5827,CLEANING
161288,2531,GROCERY I
162066,9694,GROCERY I
164036,5607,GROCERY I
164037,4771,GROCERY I
164088,5102,DAIRY
164647,15759,CLEANING
165550,8561,BEVERAGES
165551,7041,BEVERAGES
165553,3939,BEVERAGES
165594,20969,GROCERY I
165693,10630,GROCERY I
165704,13197,GROCERY I
165705,4024,GROCERY I
165718,10148,BREAD/BAKERY
165727,2098,GROCERY I
165988,11531,GROCERY I
167437,3807,GROCERY II
168927,17613,CLEANING
168930,11541,CLEANING
168931,3417,CLEANING
168989,3274,GROCERY I
169028,3641,GROCERY I
169101,1258,CLEANING
169104,353,CLEANING
170791,6675,GROCERY I
171890,3326,CLEANING
172184,4755,GROCERY I
172343,10291,GROCERY I
172995,874,AUTOMOTIVE
173111,6363,GROCERY I
173113,1815,DAIRY
174081,4549,BEVERAGES
176411,568,CLEANING
177050,670,LINGERIE
177395,5567,GROCERY I
179274,5518,GROCERY I
179564,833,GROCERY I
179579,1747,GROCERY I
179600,887,GROCERY I
179615,7200,DAIRY
205209,2815.7691,MEATS
205381,2278,GROCERY I
205387,8626,GROCERY I
205486,3083,DAIRY
205557,1212,GROCERY I
207857,6745,GROCERY I
208384,20874,EGGS
208386,4811,EGGS
208426,3181,DELI
208498,4528,CLEANING
208514,7964,GROCERY I
208530,11875.245,FROZEN FOODS
208539,2836.632,POULTRY
208659,3634,GROCERY I
208699,2463,GROCERY I
209085,5258,CLEANING
210520,501,GROCERY II
210798,5189,GROCERY I
211203,15454,GROCERY I
211205,6503,GROCERY I
211206,3287,GROCERY I
211999,2493,GROCERY I
212550,2630,GROCERY I
212552,5594,GROCERY I
213066,4858,GROCERY I
213652,8466,GROCERY I
213653,3427,GROCERY I
213788,7373,GROCERY I
214381,11376,CLEANING
214859,9570,CLEANING
214860,5006,CLEANING
214862,5459,CLEANING
215303,6240,GROCERY I
215304,3659,GROCERY I
215327,7753,GROCERY I
215331,16904,GROCERY I
215332,6257,GROCERY I
215352,32917,GROCERY I
215356,5014,GROCERY I
215370,6274,BREAD/BAKERY
215468,857,LINGERIE
215896,10527,GROCERY I
217827,2753,GROCERY I
218726,884,CLEANING
218728,2523,CLEANING
219147,5542,BEVERAGES
219150,24336,BEVERAGES
219152,5335,BEVERAGES
220432,8745,GROCERY I
220435,33963,GROCERY I
220613,2916,DELI
221506,4551,CLEANING
222879,25517,GROCERY I
222975,5501,GROCERY I
223068,2311,GROCERY I
223136,19930,GROCERY I
223434,10468,GROCERY I
223463,2308,GROCERY I
224081,3663,CLEANING
226126,5125,CLEANING
226857,4982,GROCERY I
227111,3796,EGGS
227728,2081,DAIRY
229368,3665,GROCERY I
246052,3116,GROCERY I
250782,696,HOME APPLIANCES
252698,3067.4343,SEAFOOD
252970,4866,CLEANING
252972,4972,CLEANING
253103,2457,BREAD/BAKERY
253145,3316,GROCERY I
255161,4881,GROCERY I
255198,2349,GROCERY I
255199,3428,GROCERY I
255202,2278,GROCERY I
257847,28970,BEVERAGES
257848,4781,BEVERAGES
258268,8229,EGGS
258376,12881,CLEANING
258395,2852,GROCERY I
258396,14375,GROCERY I
258411,5065,FROZEN FOODS
258537,3037,CLEANING
260628,8893,BREAD/BAKERY
260669,3681,GROCERY I
260893,2421,GROCERY I
261052,38659,GROCERY I
261053,18293,GROCERY I
261700,11910,GROCERY I
262358,2831,GROCERY I
262991,8120,GROCERY I
263583,2601,GROCERY I
264299,16309,CLEANING
264300,2415,CLEANING
264305,15889,PERSONAL CARE
264452,5507,CLEANING
264576,2676,FROZEN FOODS
264751,2712,CLEANING
264752,4405,CLEANING
264753,4525,CLEANING
265086,7888,BEVERAGES
265237,8244,GROCERY I
265254,25432,GROCERY I
265257,9975,GROCERY I
265258,3211,GROCERY I
265266,6117,PREPARED FOODS
265279,16612,BREAD/BAKERY
265382,609,LINGERIE
265559,70180,GROCERY I
265672,2290,GROCERY I
265700,3026,CLEANING
268440,5740,CLEANING
268443,9457,CLEANING
268446,3499,CLEANING
268623,3715,CLEANING
268662,3294,GROCERY I
268664,10522,GROCERY I
268676,6879,GROCERY I
268834,8476,GROCERY I
269029,13947,BEVERAGES
269036,9411,BEVERAGES
269084,3937,BREAD/BAKERY
269286,3536,CLEANING
269287,5414,CLEANING
270522,929,AUTOMOTIVE
271478,2336,DAIRY
271479,6247,DAIRY
273528,34025,PERSONAL CARE
273859,2928,GROCERY I
275823,7398,CLEANING
275826,2568,CLEANING
276560,493,GROCERY I
278806,1778,GROCERY I
279125,1562,GROCERY I
279137,2069,GROCERY I
279157,3288,DAIRY
279494,2266,GROCERY I
302824,1647,CLEANING
302952,5663,BREAD/BAKERY
302995,847,GROCERY I
302997,4800,GROCERY I
302998,4960,GROCERY I
305074,1671,GROCERY I
305079,5297,GROCERY I
305080,29673,GROCERY I
305081,3775,GROCERY I
305227,7926,GROCERY I
305229,21660,GROCERY I
305234,2357,GROCERY I
305237,2237,GROCERY I
305341,4185,GROCERY I
305344,4702,GROCERY I
305345,3477,GROCERY I
307740,400,CLEANING
308085,4218,BEVERAGES
308726,4909,GROCERY I
308766,2311,CLEANING
308916,2524,CLEANING
308924,3037,CLEANING
310644,13045,BREAD/BAKERY
310647,2650,BREAD/BAKERY
310671,11216,GROCERY I
310790,2327,GROCERY I
311954,4111,CLEANING
311994,18170.599,BREAD/BAKERY
312113,3344,BREAD/BAKERY
312317,495,AUTOMOTIVE
312324,3341,GROCERY I
312596,413,GROCERY I
313641,4615,GROCERY I
314384,60029,GROCERY I
314393,14830,CLEANING
314570,7925,CLEANING
314879,3282,CLEANING
314880,5093,CLEANING
314881,3471,CLEANING
315176,35253,BEVERAGES
315178,10439,BEVERAGES
315179,12086,BEVERAGES
315180,12963,BEVERAGES
315220,15543,GROCERY I
315221,12216,GROCERY I
315277,20975,GROCERY I
315279,6236,GROCERY I
315320,3341,GROCERY I
315322,7854,GROCERY I
315460,10755,GROCERY I
315463,6630,GROCERY II
315473,3737,BREAD/BAKERY
315474,14119,BREAD/BAKERY
315712,8843,GROCERY I
315713,2257,GROCERY I
315753,403,GROCERY I
317147,236,CLEANING
317285,4717,GROCERY II
318787,5104,GROCERY I
318847,4440,CLEANING
318932,6916,DELI
318935,4199,DELI
319093,10919,DELI
319094,3618,DELI
319095,4426,DELI
319272,3395,BEVERAGES
320681,4975,GROCERY I
320682,47398,GROCERY I
321798,1916,CLEANING
322094,5150,CLEANING
322095,5198,CLEANING
323013,20328,GROCERY I
323217,602,GROCERY I
323227,1865,GROCERY I
323921,12607,PERSONAL CARE
324206,1082,CLEANING
326951,6595,GROCERY I
329070,2678,GROCERY I
329071,5450,GROCERY I
329361,666,GROCERY I
329362,7987,GROCERY I
329364,3203,GROCERY I
329365,1699,GROCERY I
329397,5434,DAIRY
346065,10130,GROCERY I
346066,2428,GROCERY I
346406,840,GROCERY I
352513,7194,CLEANING
354918,1462,GROCERY I
354919,5587,GROCERY I
354922,2674,GROCERY I
354964,5738,GROCERY I
354971,2574,GROCERY I
355090,5828,GROCERY I
355091,5476,GROCERY I
357961,5318,EGGS
357962,7585,EGGS
357963,3311,EGGS
357996,3393,DELI
358096,3165,GROCERY I
358100,5219,GROCERY I
358134,3391,DAIRY
358231,13936,CLEANING
358232,6359,CLEANING
358264,4890,GROCERY I
358272,5892,DAIRY
358515,4392,GROCERY I
358519,3462,GROCERY I
358561,3224,CLEANING
358564,878,CLEANING
359913,3577,BREAD/BAKERY
360313,5348,BREAD/BAKERY
360314,8601,BREAD/BAKERY
360703,5592,GROCERY I
360704,5155,GROCERY I
360705,3185,GROCERY I
361502,5477,GROCERY I
362035,2519,GROCERY I
362548,12215,GROCERY I
363049,3572,PERSONAL CARE
363868,6643,GROCERY I
363889,3875,GROCERY I
363895,5650,CLEANING
364413,7406,CLEANING
364606,71236,GROCERY I
364724,13227,GROCERY I
364738,52745,BEVERAGES
364829,4248,GROCERY I
364832,10267,GROCERY I
364834,5452,GROCERY I
364865,12589,GROCERY II
365138,3917,GROCERY I
365139,5752,GROCERY I
365140,8435,GROCERY I
365264,4479,CLEANING
368136,13106,GROCERY I
368139,4066,GROCERY I
368140,10619,GROCERY I
368213,5136,DAIRY
368260,12435,GROCERY I
368270,2305,GROCERY I
368419,4604,DELI
368424,3067,GROCERY I
368624,5670,BEVERAGES
368628,11757,BEVERAGES
369432,2201,GROCERY I
370042,12319,GROCERY I
371130,8511,CLEANING
371218,2419,DAIRY
371434,3177,GROCERY I
371437,5772,CLEANING
371438,7442,CLEANING
372369,3228,DAIRY
372480,3291,GROCERY I
372924,6662,GROCERY I
372937,562,GROCERY I
373152,6388,PERSONAL CARE
374464,3656,GROCERY I
376194,2636,GROCERY I
376427,5330,EGGS
376483,2809,PREPARED FOODS
377978,2014,"LIQUOR,WINE,BEER"
378330,4825,GROCERY I
378332,2497,GROCERY I
378685,19009,DAIRY
401817,10838,GROCERY I
401911,3212,CLEANING
402136,2516,CLEANING
402174,7086,GROCERY I
402175,4112,GROCERY I
402299,4515,BREAD/BAKERY
404332,1298,GROCERY I
404333,2518,GROCERY I
404334,2539,GROCERY I
404336,6468,GROCERY I
404439,3062,GROCERY I
404442,2029,GROCERY I
404454,2407,GROCERY I
405304,2634,GROCERY I
406965,4067,CLEANING
407499,8411,EGGS
407500,4290,EGGS
407533,2644,DELI
407542,3137,DELI
407552,1896,DELI
407608,4471,CLEANING
407769,6459,CLEANING
409738,9977,BREAD/BAKERY
409739,2764,BREAD/BAKERY
409904,6542,GROCERY I
410150,718,LINGERIE
410257,23971,GROCERY I
410866,8877,PREPARED FOODS
411487,3028,CLEANING
411555,3614,GROCERY I
411557,2173,GROCERY I
413557,1932,GROCERY I
413986,3286,CLEANING
413987,10895,CLEANING
414305,5063,BEVERAGES
414353,33102,GROCERY I
414354,3345,GROCERY I
414421,8279,GROCERY I
414425,4068,GROCERY I
414426,8362,GROCERY I
414454,10616,GROCERY I
414455,6407,GROCERY I
414478,4682,BREAD/BAKERY
414620,12660,GROCERY I
414621,11441,GROCERY I
414623,7786,GROCERY I
414750,31641,GROCERY I
414752,11755,GROCERY I
414888,2873,CLEANING
416252,245,GROCERY I
417763,7197,CLEANING
417765,10537,CLEANING
417835,4377,GROCERY I
418024,2759,DELI
418025,6510,DELI
418026,5043,DELI
418235,20372,BEVERAGES
418238,7188,BEVERAGES
419729,2907,DELI
420720,4234,DAIRY
421066,5170,GROCERY I
422452,5162,GROCERY I
426155,12033,PREPARED FOODS
428054,5018,GROCERY I
428394,295,GROCERY I
428488,2248,CLEANING
437609,175,GROCERY I
452022,2256,GROCERY I
452078,2116,CLEANING
452079,3402,CLEANING
452212,17822,BREAD/BAKERY
454326,4274,GROCERY I
454413,2963,GROCERY I
454414,1932,GROCERY I
454416,4584,GROCERY I
454426,2196,GROCERY I
454589,2716,GROCERY I
454593,1108,GROCERY I
454596,5941,GROCERY I
456870,3423,GROCERY I
456875,2681,CLEANING
457424,10882,EGGS
457425,3298,EGGS
457471,5816,DELI
457556,6159,GROCERY I
457574,17444.171,FROZEN FOODS
457688,7993,CLEANING
457727,3941,DAIRY
457928,35665.5059,POULTRY
458029,3981,CLEANING
459762,5516,BREAD/BAKERY
459801,3705,GROCERY I
459804,7437,GROCERY I
460804,3197,GROCERY I
461432,679,AUTOMOTIVE
461752,243,GROCERY I
462673,2424,GROCERY I
463458,2807,CLEANING
463598,5063,CLEANING
463816,540,CLEANING
463901,6931,CLEANING
463903,5776,CLEANING
464112,290,GROCERY I
464263,8143,GROCERY I
464302,4424,GROCERY I
464333,9158,GROCERY I
464334,5683,GROCERY I
464336,7988,GROCERY I
464339,8918,GROCERY I
464356,4691,GROCERY I
464374,27206,BEVERAGES
464385,4407,BREAD/BAKERY
464536,6194,GROCERY I
464906,2072,GROCERY I
464907,1922,GROCERY I
464940,3006,CLEANING
467808,10644,CLEANING
467887,11763,GROCERY I
468057,4963,DELI
468058,3441,DELI
468265,8035,BEVERAGES
469643,2228,GROCERY I
470624,7323,CLEANING
470625,2823,CLEANING
470760,3035,CLEANING
470762,2618,CLEANING
471980,7830,GROCERY I
471985,5310,DAIRY
472314,3040,GROCERY I
472526,2206,GROCERY I
472645,3172,GROCERY I
472658,5552,GROCERY I
476261,3467,EGGS
476707,1964,DAIRY
479200,544,GROCERY I
502067,3896,GROCERY I
502182,2903,BREAD/BAKERY
502224,836,GROCERY I
502227,6749,GROCERY I
502230,5816,GROCERY I
502331,61183,BREAD/BAKERY
504457,2235,GROCERY I
506717,3121,GROCERY I
507354,2248.031,DELI
507457,4786,FROZEN FOODS
507478,10995,EGGS
507479,4291,EGGS
507641,7259,DAIRY
507867,4300,GROCERY I
507870,8400,GROCERY I
507927,2798,CLEANING
507958,2849.2352,POULTRY
507969,25983.0482,POULTRY
508069,3150,CLEANING
508947,5086,DAIRY
509872,2120,GROCERY I
509877,348,LINGERIE
510052,3402,GROCERY I
510054,22650,GROCERY I
510055,5955,GROCERY I
510057,5785,GROCERY I
511172,2096,BREAD/BAKERY
511394,411,AUTOMOTIVE
511397,1896,GROCERY I
513379,3547,PERSONAL CARE
513853,5864,CLEANING
513855,8113,CLEANING
514144,16671,GROCERY I
514149,3946,GROCERY I
514172,13432,BEVERAGES
514242,10497,GROCERY I
514327,18246,PREPARED FOODS
514444,455,LINGERIE
514445,514,LINGERIE
514446,710,LINGERIE
514597,4956,GROCERY I
514729,2409,GROCERY I
514730,2200,GROCERY I
514757,4061,CLEANING
517615,8764,GROCERY I
517903,3266,DELI
517904,4454,DELI
517905,4156,DELI
517906,4341,DELI
517909,3146.192,DELI
518091,20681,BEVERAGES
518094,11738,BEVERAGES
519560,3812.03089999999,DELI
519718,3792,DELI
521818,5472,GROCERY I
522383,5329,GROCERY I
522721,4205,CLEANING
522941,5662,GROCERY I
523054,545,LINGERIE
525887,3447,GROCERY I
525902,4275,EGGS
527757,2944,GROCERY I
546043,520,CLEANING
551893,1878,CLEANING
552050,2702,BREAD/BAKERY
554047,3602,GROCERY I
554048,3117,GROCERY I
554049,14860,GROCERY I
554143,6010,GROCERY I
554144,2740,GROCERY I
554145,1948,GROCERY I
554152,3084,GROCERY I
556698,4214,BEVERAGES
557241,6881.669,FROZEN FOODS
557256,20029,EGGS
557257,9278,EGGS
557285,5115,DELI
557286,3014,DELI
557289,2392,DELI
557305,5031,DELI
557408,9445,DAIRY
557420,12622,PREPARED FOODS
557810,5071,GROCERY I
558730,4240,DAIRY
559044,3327,BREAD/BAKERY
559493,9667,BREAD/BAKERY
559494,6622,BREAD/BAKERY
559680,2903,GROCERY I
559682,2164,GROCERY I
559870,59150,GROCERY I
559872,4858,GROCERY I
559873,11509,GROCERY I
562568,4318,GROCERY I
563654,3910,CLEANING
563966,7728,BEVERAGES
564110,10987,GROCERY I
564272,6178,GROCERY I
564274,7750,GROCERY I
564287,28695,BREAD/BAKERY
564288,8556,BREAD/BAKERY
564533,39743,GROCERY I
564534,16598,GROCERY I
567517,2664,CLEANING
567579,3964,GROCERY I
567588,11277,GROCERY I
567623,19159,GROCERY I
567644,3990,GROCERY I
567750,7184,GROCERY I
567778,4379,DELI
567779,4539,DELI
567781,3004,DELI
567787,3055,GROCERY I
568133,3842,BEVERAGES
570869,484,GROCERY I
570870,383,GROCERY I
570917,5865,GROCERY I
570922,2972,CLEANING
572838,5757,CLEANING
573832,7010,GROCERY I
574898,5144,CLEANING
575630,3166,GROCERY I
575675,5039,GROCERY I
575863,4434,GROCERY I
575875,3334,EGGS
575876,3590,EGGS
577740,4065,GROCERY I
577741,10590,GROCERY I
577743,3703,GROCERY I
577745,3469,GROCERY I
578097,13485,DAIRY
578467,2605,GROCERY I
579759,4715,GROCERY I
580929,5513,GROCERY I
581078,21510,CLEANING
581742,5254,GROCERY I
582863,18636.24,MEATS
582864,37474.421,MEATS
582865,16730.1328,MEATS
583795,6888.7376,MEATS
583797,5318.9229,MEATS
583799,6576.1563,MEATS
583868,5091.245,MEATS
583925,3665.3159,MEATS
583927,3205.409,MEATS
583931,5985.6713,MEATS
583968,3655.9892,MEATS
583973,4016.1077,MEATS
583975,3833.9359,MEATS
583977,2496.9396,MEATS
583978,2366.0385,MEATS
583985,14170.5586,MEATS
584026,3071.212,MEATS
584027,3957.8507,MEATS
584028,53315.316,MEATS
584030,2655.6489,MEATS
584032,5575.4009,MEATS
584076,4339.0504,MEATS
584077,2791.0817,MEATS
584078,7893.4954,MEATS
584099,4999.6432,MEATS
584101,1825.6221,MEATS
584103,2846.4209,MEATS
584123,1875.34,MEATS
584125,1920.8726,MEATS
584126,45391.3803,MEATS
584129,2046.703,MEATS
584188,2677.6306,MEATS
584246,3067.6171,MEATS
586423,2561,GROCERY I
586823,4111,CLEANING
586824,1217,CLEANING
586911,2697,PERSONAL CARE
586967,200,PERSONAL CARE
586969,4627,GROCERY I
587069,15184,GROCERY I
587104,2659.8028,MEATS
587156,3408,CLEANING
587157,23772.75,MEATS
587186,6796,CLEANING
589403,2063,SEAFOOD
592801,3671,DAIRY
592942,1727,GROCERY I
594045,4826,BREAD/BAKERY
598414,5033,GROCERY I
598492,2478,GROCERY I
603255,3323,GROCERY I
608035,3670,CLEANING
617092,3689,EGGS
617096,3674,EGGS
617103,4663,EGGS
617113,1513,EGGS
617548,1551,PERSONAL CARE
617763,1125,BEAUTY
619965,2806,DELI
619969,5139,GROCERY I
621300,25494,GROCERY I
622958,4881,GROCERY I
623316,11073.48,MEATS
623317,3822.2664,MEATS
623330,137,GROCERY I
627263,10365,GROCERY I
627885,2146,GROCERY I
627887,2211,GROCERY I
633735,4778.1733,MEATS
633977,2391.1603,MEATS
633996,2838.8986,MEATS
633997,5062.8788,MEATS
634008,2017.8951,MEATS
634009,5057.7377,MEATS
634010,4093.4598,MEATS
634014,6173.59060000001,MEATS
634015,3254.5821,MEATS
634054,2279.3458,MEATS
636846,679,GROCERY I
637016,3757,GROCERY I
638240,2732,CLEANING
638296,1556,GROCERY I
638308,2355,GROCERY I
638327,144,GROCERY I
638977,19607,GROCERY I
638978,2794,GROCERY I
639586,8225,GROCERY I
640286,325,"LIQUOR,WINE,BEER"
641042,13366,GROCERY I
641627,129,GROCERY I
645294,3241,GROCERY I
648313,8108,CLEANING
651326,3877,GROCERY I
651523,6183,GROCERY I
651525,6599,GROCERY I
655427,6307,CLEANING
655744,569,LINGERIE
655749,915,GROCERY I
655840,533,LINGERIE
657869,5888,GROCERY I
658608,2509,CLEANING
658609,3031,CLEANING
660310,1662,BREAD/BAKERY
660311,2816,BREAD/BAKERY
660312,9546,BREAD/BAKERY
660318,850,BREAD/BAKERY
660319,6684,BREAD/BAKERY
660320,3965,BREAD/BAKERY
660321,2375,BREAD/BAKERY
660323,5707,BREAD/BAKERY
660502,5695,GROCERY I
660503,3673,DAIRY
661582,274,"LIQUOR,WINE,BEER"
663084,9568,GROCERY I
664537,2166,GROCERY I
664539,4283,PERSONAL CARE
664543,8390,PERSONAL CARE
664545,4956,PERSONAL CARE
668752,5697,CLEANING
668753,2154,CLEANING
668754,2563,CLEANING
671039,16815,BEVERAGES
671051,2984,DELI
671055,1985,DELI
671062,3964,DELI
671066,1290,DELI
671067,2147,DELI
671068,2102,DELI
671076,3223,DELI
671079,2766,DELI
671083,6094,DELI
671084,3306,DELI
671684,2425,DELI
671699,1767.685,DELI
671706,2475.679,DELI
671708,2430.017,DELI
671908,2255,DELI
673306,2546,GROCERY I
673415,2488,DELI
673496,177,BEAUTY
