store_nbr;Store name;brand;address;city;state;type;cluster
1;BB - FC - Guwahati;BB - FC;BHANAGAGHAR - CITY SQUARE G.S ROAD;GUWAHATI;Assam;D;13
2;BB - Johrat;BB;MOUZA - NAGARMHAL - PMS / B&A COMPLEX;JOHRAT;Assam;D;13
3;BB - Silchar;BB;PARGANA - BARAKPUR - GOLDOGH COMMERCIAL COMPLEX;SILCHAR;Assam;D;8
4;FBB - Guwahati;FBB;PALTAN BAZAR - G.S.ROAD;GUWAHATI;Assam;D;9
5;BB - FC - Patna;BB - FC;PATALIPUTRA COLONY - P&M MALL;PATNA;Bihar;D;4
6;BB - Patna;BB;EXHIBITION ROAD - P MALL;PATNA;Bihar;D;13
7;FBB - Bhagalpur;FBB;DN SINGHROAD - JIWANSAGAR TOWER;BHAGALPUR;Bihar;D;8
8;BB - Patna;BB;BAILEY ROAD - KASHYAP BUSINESS PARK;PATNA;Bihar;D;8
9;BB - Raipur;BB;DEVENDRA NAGAR - OPP - EPF BUILDING;RAIPUR;Chhattisgarh;B;6
10;BB - Bilaspur;BB;24 MAGARPARA LINK ROAD - RAO TRADE CENTER;BILASPUR;Chhattisgarh;C;15
11;BB - Bhilai;BB;NEHRU NAGAR - SURYA TREASURE ISLAND MALL;BHILAI;Chhattisgarh;B;6
12;FBB - Raipur;FBB;BIDHANSABHA ROAD - AMBUJA MALL CITY;RAIPUR;Chhattisgarh;C;15
13;BB - Dhanbad;BB;SARAIDHELA - SRI RAM CITY MALL;DHANBAD;Jharkhand;C;15
14;BB - FC - Ranchi;BB - FC;MAIN ROAD OPP RANCHI CLUB - JC TOWER;RANCHI;Jharkhand;C;7
15;BB - Jamshedpur;BB;NEAR DIMNA CHOWK;JAMSHEDPUR;Jharkhand;C;15
16;BB - Deoghar;BB;SUBHASH ROAD;DEOGHAR;Jharkhand;C;3
17;BB - Nagpur;BB;RAMDAS PETH - LANDMARK BLDG;NAGPUR;Maharashtra;C;12
18;BB - FC - Nagpur;BB - FC;VARDHMAN NAGAR - POONAM MALL;NAGPUR;Maharashtra;B;16
19;BB - Nagpur;BB;RAILWAY STATION ROAD - EMPRESS MALL;NAGPUR;Maharashtra;C;15
20;FBB - Nagpur;FBB;SITABULDI - ETERNITY MALL;NAGPUR;Maharashtra;B;6
21;BB - Jharsugda;BB;SARBAHAL ROAD - SHANTI CITY CENTRE;JHARSUGDA;Odisha;B;6
22;BB - Bhubhaneswar;BB;BHUBHANESHWAR - KHARVEL NAGAR - FORUM MART;BHUBHANESWAR;Odisha;C;7
23;BB - Bhubhaneswar;BB;BHUBHANESHWAR - PATIA - MARUTI MALL;BHUBHANESWAR;Odisha;D;9
24;BB - Cuttack;BB;OLD JAIL ROAD - NETAJI SUBHAS CHANDRA BOSE SHOPPING ARCADE;CUTTACK;Odisha;D;1
25;BB - Sambalpur;BB;KHETRAJPUR - CITY CENTRE;SAMBALPUR;Odisha;D;1
26;BB - Gangtok;BB;NAMNAG ROAD - NAMNAG COMMERICAL COMPLEX;GANGTOK;Sikkim;D;10
27;BB - Agartala;BB;MANTRI BARI ROAD - M.L.PLAZA;AGARTALA;Tripura;D;1
28;BB - Kolkata;BB;RAGHUNATHPUR - VIP ROAD;KOLKATA;West Bengal;E;10
29;BB - Kolkata;BB;HILAND PARK - THE METROPOLIS;KOLKATA;West Bengal;E;10
30;BB - Kolkata;BB;RAJA .S.C. MULLICK ROAD - ORBIT MALL;KOLKATA;West Bengal;C;3
31;BB - Kolkata;BB;J.L.NEHRU ROAD - LIC - ESPALANDE;KOLKATA;West Bengal;B;10
32;BB - FC - Kolkata;BB - FC;BELEGHATA AIN ROAD - SEALDAH COMMERCIAL COMPLEX;KOLKATA;West Bengal;C;3
33;BB - Kolkata;BB;SALT LAKE CITY;KOLKATA;West Bengal;C;3
34;BB - Kolkata;BB;BIRATI;KOLKATA;West Bengal;B;6
35;BB - Barasat;BB;JESSORE ROAD - SUNCITY MALL;BARASAT;West Bengal;C;3
36;BB - Howrah;BB;LILUAH - R.D MALL;HOWRAH;West Bengal;E;10
37;BB - Asansol;BB;BURNBPUR ROAD - GALAXY MALL;ASANSOL;West Bengal;D;2
38;BB - Howrah;BB;JAGAT BANERJEE GHAT ROAD - AVANI RIVER SIDE MALL;HOWRAH;West Bengal;D;4
39;BB - Darjeeling;BB;LADEN LA ROAD - RINK MALL;DARJEELING;West Bengal;B;6
40;BB - Siliguri;BB;SEVOKE ROAD - COSMOS MALL;SILIGURI;West Bengal;C;3
41;FBB - Siliguri;FBB;CITY CENTER SILIGURI MALL;SILIGURI;West Bengal;D;4
42;BB - Durgapur;BB;DREAMPLEX COMPLEX;DURGAPUR;West Bengal;D;2
43;BB - Burdwan;BB;JAIL KHANA MORE - BURDWAN ARCADE;BURDWAN;West Bengal;E;10
44;FBB - Kolkata;FBB;MANIKTALA MAIN ROAD - MANISQUARE MALL;KOLKATA;West Bengal;A;5
45;BB - Kharagpur;BB;PUJA MALL;KHARAGPUR;West Bengal;A;11
46;BB - Kolkata;BB;JESSORE ROAD - DIAMOND CITY NORTH MALL;KOLKATA;West Bengal;A;14
47;BB - Kolkata;BB;PARGANAS - WOOD SQUARE MALL;KOLKATA;West Bengal;A;14
48;BB - Kolkata;BB;RAJARHAT - BLOCK BY BLOCK SHOPPING MALL;KOLKATA;West Bengal;A;14
49;BB - Kolkata;BB;RASHBEHARI AVENUE - LAKEMALL;KOLKATA;West Bengal;A;11
50;FBB - Kolkata;FBB;HOWRAH MAIDAN;KOLKATA;West Bengal;A;14
51;BB - Kolkata;BB;SREEBHUMI - ALCOVE GLORIA;KOLKATA;West Bengal;A;17
52;BB - Kolkata;BB;SHREERAMPUR - RD PLAZA;KOLKATA;West Bengal;A;11
53;BB - Haldia;BB;DIST. EAST OF MADINIPUR - MOUZA DEBHOG;HALDIA;West Bengal;D;13
54;BB - Bokaro;BB;BOKARO STEEL CITY - THE BOKARO MALL;BOKARO;Jharkhand;C;3
